Computer Science BS,Tawed,Andrew,ae81385,Freshman,tan783@mail.umsl.edu
Computer Science BS,Bartrick,Jasmine,fewa6842,Sophomore,bja8s5@mail.umsl.edu
Computer Science BS,Smith,Matthew,ad651f38,Senior,smp195@mail.umsl.edu
Computer Science BS,Nesham,William,12345678,Junior,wjn99@mail.umsl.edu
Computer Science BS,Appel,Gabi,98765432,Junior,glafkv@mail.umsl.edu
Computer Science BS,Butera,Jeffrey,23487562,Junior,jabd@mail.umsl.edu
Computer Science BS,Brown,Charlie,cbt8f3,Freshman,cbt8f3@mail.umsl.edu
Computer Science BS,Clinton,Hillary,chdr12,Senior,chdr12@mail.umsl.edu
Computer Science BS,Eva,Longoria,ejl7h6,Sophomore,ejl7h6@mail.umsl.edu
Computer Science BS,Golshifteh,Farahani,gsh2yz,Freshman,gsh2yz@mail.umsl.edu
